Tag	Cage	Ear	Sex	Color	Name	Genotype	DOB	DOD	Father	Mother	Lineage	GenotypingLibrary	Plate	Notes
2694	HOP0011-B	+/+t	M	Agouti		4E,12I,4S,11ina	2019-08-19	03/17/20	2168	2251	1763PB#3		Plate T885760-C07	
2681	HOP0012	++/t	M	Agouti		4E,12I,5S,8ina	2019-08-24	03/17/20	2168	2207	1763PB#3		Plate T885760-B06	
2682	sep for trans	+/+t	M	Black		3E,12I,6S,9ina	2019-08-24	transferred to Bergles Lab	2168	2207	1763PB#3		Plate T885760-B07	
2684	sep for trans	-/++t	M	Agouti		3E,12I,7S,10ina	2019-08-24	transferred to Zack Lab	2147	2150	1763PB#3		Plate T885760-B09	
2643	HOP0014	-/++t	M	Agouti		4E,13I,6S,12ina	2019-08-03	dispensible	2168	2207	1763PB#3		T885773-A11	
2685	HOP0015	-/++t	M	Agouti		4E,11I,6S,11ina	2019-08-24	03/17/20	2147	2150	1763PB#3		Plate T885760-B10	
2720	sep for trans	+/+t	M	Agouti		4E,11I,6S,12ina	2019-08-27	transferred to Zack Lab	2154	2142	1763PB#3	KL17, 191022		
2721	HOP0027-A	t/++	M	Agouti		4E,12I,5S,10ina	2019-08-27	03/17/20	2154	2142	1763PB#3	KL17, 191022		
2722	HOP0027	-/t++	M	Agouti		4E,7I,6S,12ina	2019-08-27	03/17/20	2154	2142	1763PB#3	KL17, 191022		
														
2418	HOP0028-B	++/t	F	Black		5E,8I,18S,9ina	2019-06-13	breeding, euth post 	2134	2101	1763PB#7	KL15		
2421	HOP0028-B	t++/-	F	Black		5E,7I,17S,7ina	2019-06-13	breeding, euth post 	2134	2101	1763PB#7	KL15		
2444	HOP0001	-/++t	F	Agouti		3E,5I,14S,10ina	2019-06-26	breeding - xCas9 M, experimental	2134	2100	1763PB#7	KL15		
2499	HOP0001	++/t	F	Agouti		2E,4I,12S,4ina	2019-07-02	breeding - xCas9 M, experimental	2164	CD1	1763PB#7		T885761-A12	
2417	HOP0003	-/++t	F	Agouti		5E,8I,19S,10ina	2019-06-13	03/17/20	2134	2101	1763PB#7	KL15		190917: breeding with t2401; 191016: separated for shipment to Hopkins and on watch until 10/30
2401	HOP0003	+/+t	M	Albino		5E,10I,20S,10ina	2019-05-28	breeding - xCas9 F, experimental	1732	1960	1763PB#7	KL15		
2410	HOP0008	-/++t	F	Black		4E,6I,14S,11ina	2019-06-16	breeding, euth post	2134	1944	1763PB#7	KL15		
2411	HOP0004	++/t	F	Black		3E,7I,17S,10ina	2019-06-16	breeding - xCas9 M, experimental	2134	1944	1763PB#7	KL15		
2412	HOP0008	+/+t	F	Black		4E,8I,12S,6ina	2019-06-16	breeding, post	2134	1944	1763PB#7	KL15		
2606	HOP0013-A	+/+t	F	Agouti		4E,9I,21S,12ina	2019-07-30	03/17/20	1942	1907	1763PB#7		T885772-H04	
2649	HOP0013-A	-/++t	F	Agouti		5E,7I,18S,10ina	2019-08-03	03/17/20	2164	2166	1763PB#7		T885773-B05	
2650	HOP0028-A	++/t	F	Agouti		5E,5I,17S,6ina	2019-08-03	breeding, euth post	2164	2166	1763PB#7		T885773-B06	
2651	HOP0006	+/+t	F	Agouti		4E,4I,18S,8ina	2019-08-03	dispensible	2164	2166	1763PB#7		T885773-B07	
2652	HOP0028-A	t/++	F	Black		5E,7I,18S,8ina	2019-08-03	breeding, euth post	2164	2166	1763PB#7		T885773-B08	
2265	HOP0008	+/+t	M	Agouti		5E,8I,14S,9ina	2019-05-02	03/17/20	1735	1937	1763PB#7	KL11*		
2583	sep for trans	-/++t	M	Agouti		5E,7I,17S,10ina	2019-07-18	transferred to Zack Lab	2134	2100	1763PB#7		T885772-F10	
2603	sep for trans	-/++t	M	Agouti		4E,9I,18S,11ina	2019-07-30	transferred to Zack Lab	1942	1907	1763PB#7		T885772-H01	
2568	HOP0013	-/++t	M	Ag		4E,9I,17S,10ina	2019-07-09	03/17/20	2134	2101	1763PB#7		T885772-E05	
2569	HOP0013-A	++/t	M	Ag		4E,10I,14S,11ina	2019-07-09	03/17/20	2134	2101	1763PB#7		T885772-E06	
2570	sep for trans	+/+t	M	Alb		5E,6I,15S,9ina	2019-07-09	transferred to Bergles Lab	2134	2101	1763PB#7		T885772-E07	
2415	HOP0003	t/++	F	Agouti		5E,10I,16S,13ina	2019-06-13	03/17/20	2134	2101	1763PB#7	KL15		190917: breeding with t2235; 191016: separated for shipment to Hopkins and on watch; 191017: pups, not shipped to Hopkins; 191106: weaned for shipment
2750	HOP0028-A	-/++t	M	Agouti		4E,10I,23S,10ina	2019-10-01	03/17/20	2235	2046	1763PB#7	KL17, 191022		
2751	HOP0028-B	++/t	M	Agouti		5E,9I,13S,13ina	2019-10-01	breeding - xCas9 F, experimental	2235	2046	1763PB#7	KL17, 191022		
														
2437	HOP0016-A	+/+t	M	Agouti		5	2019-06-14	03/17/20	2013	2010	1853PBF#1	KL15		
2438	HOP0016-B	t/++	M	Black		5	2019-06-14	03/17/20	2013	2010	1853PBF#1	KL15		
2735	HOP0022-A	-/++t	M	Agouti		4	2019-09-26	03/17/20	2103	2348 or 2351	1853PBF#1	KL17, 191022		
2736	HOP0022	++/t	M	Agouti		4	2019-09-26	03/17/20	2103	2348 or 2351	1853PBF#1	KL17, 191022		
2737	HOP0022	+/+t	M	Agouti		4	2019-09-26	03/17/20	2103	2348 or 2351	1853PBF#1	KL17, 191022		
2740	HOP0024	-/++t	F	Agouti		4	2019-09-26	03/17/20	2103	2348 or 2351	1853PBF#1	KL17, 191022		
2741	HOP0016-B	++/t	F	Agouti		5	2019-09-26	03/24/20	2103	2348 or 2351	1853PBF#1	KL17, 191022		
2742	HOP0022-A	+/+t	F	Agouti		5	2019-09-26	03/17/20	2103	2348 or 2351	1853PBF#1	KL17, 191022		
2743	HOP0016-B	t/++	F	Agouti		4	2019-09-26	03/24/20	2103	2348 or 2351	1853PBF#1	KL17, 191022		
2744	HOP0022-A	t++/-	F	Agouti		4	2019-09-26	03/17/20	2103	2348 or 2351	1853PBF#1	KL17, 191022		
2448	HOP0016-A	+/+t	F	Black		5	2019-06-22	03/17/20	2005	2017	1853PBF#1	KL15		
														
2542	HOP0018-A	t/++	M	Black		fCas9 (+/+), hCD2 (+)	2019-07-19	03/17/20	c1009#1	2384	fCas9 x hCD2		T885765-E02	
2543	HOP0018	t++/-	M	Black		fCas9 (+/+), hCD2 (+)	2019-07-19	03/17/20	c1009#1	2384	fCas9 x hCD2		T885765-E03	
2726	HOP0021-B	-/++t	M	Black		fCas9 (+/+), hCD2 (-/-)	2019-09-20	03/17/20	c0995#1	2359	fCas9 x hCD2			
2727	HOP0021-A	++/t	M	Black		fCas9 (+/-), hCD2 (+)	2019-09-20	03/17/20	c0995#1	2359	fCas9 x hCD2			
2728	HOP0021-C	+/+t	M	Black		fCas9 (+/+), hCD2 (-/-)	2019-09-20	03/17/20	c0995#1	2359	fCas9 x hCD2			
2729	HOP0021	t/++	M	Black		fCas9 (+/-), hCD2 (+)	2019-09-20	03/17/20	c0995#1	2359	fCas9 x hCD2			
2535	HOP0018-A	-/++t	F	Black		fCas9 (+/+), hCD2 (+)	2019-07-13	03/17/20	c1009#1	1773	fCas9 x hCD2		T885765-A02	190917: breeding with t2235; 191016: separated for shipment to Hopkins and on watch; 191017: pups; 191106: weaned for shipment
2547	HOP0021-A	t/++	F	Black		fCas9 (+/+), hCD2 (+)	2019-07-19		c1009#1	2384	fCas9 x hCD2		T885765-E07	
2731	HOP0018-A	++/t	F	Black		fCas9 (+/+), hCD2 (+)	2019-09-20	f.d. 2020-02-14	c0995#1	2359	fCas9 x hCD2			
2732	HOP0021-A	+/+t	F	Black		fCas9 (+/+), hCD2 (+)	2019-09-20	03/17/20	c0995#1	2359	fCas9 x hCD2			
2712	HOP0021-B	+/+t	F	Black		fCas9 (+/+), synCre (+)	2019-08-22	03/17/20	c1009#1	2362	fCas9 x synCre		T885765-B03	
2713	HOP0021-C	t/++	F	Black		fCas9 MT (+/+), synCre (+)	2019-08-22		c1009#1	2362	fCas9 x synCre		T885765-B04	
2537	HOP0021-B	-/++t	F	Black		fCas9 MT (+/-), synCre(+)	2019-07-15	03/17/20	1451	1669	fCas9 x synCre		T885765-A04	
														
2661	NRB1095	-/ot	F	Black	J024858-Cas9	J024858-Cas9	2019-08-16	Dispensible, check for pregnancies and euthanize if not	2065	2131	J024858-Cas9			20191211: arrived Hopkins, in quarantine
2662	NRB1073-A	-/ot	F	Gray	J024858-Cas9	J024858-Cas9	2019-08-16	Dispensible, check for pregnancies and euthanize if not	2065	2131	J024858-Cas9			20191211: arrived Hopkins, in quarantine
2663	NRB1073-B	-/ot	F	Gray	J024858-Cas9	J024858-Cas9	2019-08-16	Dispensible, check for pregnancies and euthanize if not	2065	2131	J024858-Cas9			20191211: arrived Hopkins, in quarantine
2664	NRB1095	-/ot	F	Gray	J024858-Cas9	J024858-Cas9	2019-08-16	Dispensible, check for pregnancies and euthanize if not	2065	2131	J024858-Cas9			20191211: arrived Hopkins, in quarantine
2548	NRB1073-A	-/ot	M	Black	J024858-Cas9	J024858-Cas9	2019-07-16	Dispensible	2065	2131	J024858-Cas9			20191211: arrived Hopkins, in quarantine
2549	NRB1073-B	-/ot	M	Black	J024858-Cas9	J024858-Cas9	2019-07-16	Dispensible	2065	2131	J024858-Cas9			20191211: arrived Hopkins, in quarantine
2550	NRB1073	-/ot	M	Black	J024858-Cas9	J024858-Cas9	2019-07-16	Dispensible	2065	2131	J024858-Cas9			20191211: arrived Hopkins, in quarantine
2597	NRB1073	-/ot	M	Gray	J024858-Cas9	J024858-Cas9	2019-07-16	Dispensible	2065	2131	J024858-Cas9			20191211: arrived Hopkins, in quarantine
2598	NRB1073	-/ot	M	Gray	J024858-Cas9	J024858-Cas9	2019-07-16	Dispensible	2065	2131	J024858-Cas9			20191211: arrived Hopkins, in quarantine
														
2615	NRB1081	-/++t	M	Agouti		11	7/30/2019	03/17/20	2123	2115	1685ins21#2		Plate T885764-A01	
2617	NRB1081	+/+t	M	Agouti		12	7/30/2019	01/03/19	2123	2115	1685ins21#2		Plate T885764-A03	20200103: euthanized for fighting
2618	NRB1081	t/++	M	Agouti			7/30/2019	01/20/20	2123	2115	1685ins21#2		Plate T885764-A04	20200120: found dead
2619	NRB1081	t++/-	M	Agouti		4E,6I,3S,NAina	7/30/2019	01/03/19	2123	2115	1685ins21#2		Plate T885764-A05	20200103: euthanized for fighting
														
	NRB0861	-/++	M	Agouti	861#1	experimental	1/11/2019	transferred to Abadir lab	1299	1201 (cas9)	1763PB#7 (experimental)			190425: 200 ul blood drawn; 190509: 100-200 uL blood drawn; 200205: in Hopkins quarantine in "NRB1079", but mice had no tags and matched the notch patterns of NRB0861
	NRB0861	++/-	M	Agouti	861#2	experimental	1/11/2019	transferred to Abadir lab	1299	1201 (cas9)	1763PB#7 (experimental)			200205: in Hopkins quarantine in "NRB1079", but mice had no tags and matched the notch patterns of NRB0861
	NRB0861	`+/+	M	Agouti	861#3	experimental	1/11/2019	transferred to Abadir lab	1299	1201 (cas9)	1763PB#7 (experimental)			190425: 200 ul blood drawn; 190509: 100-200 uL blood drawn; 200205: in Hopkins quarantine in "NRB1079", but mice had no tags and matched the notch patterns of NRB0861
	NRB0861	++/+	M	Agouti	861#4	experimental	1/11/2019	transferred to Abadir lab	1299	1201 (cas9)	1763PB#7 (experimental)			190425: 200 ul blood drawn; 190509: 100-200 uL blood drawn; 200205: in Hopkins quarantine in "NRB1079", but mice had no tags and matched the notch patterns of NRB0861
	NRB0862	-/++	F	Agouti	862#1	experimental	1/11/2019	transferred to Ewald lab	1299	1201 (cas9)	1763PB#7 (experimental)			190425: 200 ul blood drawn; 190509: 100-200 uL blood drawn; 200219: dissected for mammary glands by JW in Ewald lab
	NRB0862	++/-	F	Agouti	862#2	experimental	1/11/2019	transferred to Ewald lab	1299	1201 (cas9)	1763PB#7 (experimental)			190208: gender questionable; 190213: female confirmed; 190425: 200 ul blood drawn, 190509: 100-200 uL blood drawn
	NRB0862	+++/-	F	Black	899#5	experimental	3/1/2019	transferred to Ewald lab	1475	1201 (cas9)	1763PB#3 (experimental)			190425: 200 ul blood drawn; 190509: 100-200 uL blood drawn
	NRB1112	-/++	M	Agouti	1112#1	experimental	9/2/2019	transferred to Abadir lab	2137	2071	barcoded ins			
	NRB1112	++/-	M	Agouti	1112#2	experimental	9/2/2019	transferred to Abadir lab	2137	2071	barcoded ins			
	NRB1112	+/+	M	Agouti	1112#3	experimental	9/2/2019	transferred to Abadir lab	2137	2071	barcoded ins			
														
														
5001	AA0001	+/t	M			3E,5I,13S,12ina	12/31/2019	05/07/20	2751	2418/2421	1763PB#7		T962919-A01	
5002	AA0001	++/t	M				12/31/2019	05/07/20	2751	2418/2421	1763PB#7		T962919-B01	
5003	AA0001	t/+	M			5E,5I,13S,16ina	12/31/2019	05/07/20	2751	2418/2421	1763PB#7		T962919-C01	
5004	AA0002	+/t	M			5E,7I,14S,10ina	12/31/2019	Breeder-May20	2751	2418/2421	1763PB#7		T962919-D01	
5005	AA0002	++/t	M			5E,8I,12S,11ina	12/31/2019	Breeder-May20	2751	2418/2421	1763PB#7		T962919-E01	
5006	AA0002	t/+	M			4E,6I,12S,13ina	12/31/2019	dispensible	2751	2418/2421	1763PB#7		T962919-F01	
5007	AA0002	t/++	M			5E,6I,12S,13ina	12/31/2019	dispensible	2751	2418/2421	1763PB#7		T962919-G01	
5008	AA0003	notch-5	F			4E,7I,10S,12ina	12/31/2019	05/07/20	2751	2418/2421	1763PB#7		T962919-H01	
5009	AA0003	+/t	F			4E,6I,11S,13ina	12/31/2019	05/07/20	2751	2418/2421	1763PB#7		T962919-A02	
5010	AA0003	++/t	F				12/31/2019	05/07/20	2751	2418/2421	1763PB#7		T962919-B02	
5011	AA0003	t/+	F			4E,6I,11S,10ina	12/31/2019	05/07/20	2751	2418/2421	1763PB#7		T962919-C02	
5012	AA0003	t/++	F			5E,6I,12S,12ina	12/31/2019	05/07/20	2751	2418/2421	1763PB#7		T962919-D02	
5013	AA0004	+/t	F			4E,6I,14S,10ina	12/31/2019	Dispensible	2751	2418/2421	1763PB#7		T962919-E02	
5014	AA0004	++/t	F			5E,7I,11S,9ina	12/31/2019	Breeder-May20	2751	2418/2421	1763PB#7		T962919-F02	
5015	AA0004	t/+	F				12/31/2019	Dispensible	2751	2418/2421	1763PB#7		T962919-G02	
5016	AA0004	t/++	F				12/31/2019	Dispensible	2751	2418/2421	1763PB#7		T962919-H02	
5017	AA0004	notch-5	F				12/31/2019	Dispensible	2751	2418/2421	1763PB#7		T962919-A03	
5018	AA0005	+/t	M				12/31/2019	05/07/20	2401	2417/2415	1763PB#7		T962919-B03	
5019	AA0005	++/t	M				12/31/2019	05/07/20	2401	2417/2415	1763PB#7		T962919-C03	
5020	AA0005	t/+	M				12/31/2019	05/07/20	2401	2417/2415	1763PB#7		T962919-D03	
5021	AA0005	t/++	M				12/31/2019	05/07/20	2401	2417/2415	1763PB#7		T962919-E03	
5022	AA0006	+/t	F				12/31/2019	05/07/20	2401	2417/2415	1763PB#7		T962919-F03	
5023	AA0006	++/t	F				12/31/2019	05/07/20	2401	2417/2415	1763PB#7		T962919-G03	
5024	AA0006	t/+	F				12/31/2019	05/07/20	2401	2417/2415	1763PB#7		T962919-H03	
														
5025	AA0007	+/t	M			fCas9 MT (+/-), synCre (+)	1/1/2020	05/07/20	2728	2713	fCas9 x synCre		T962919-B04	
5026	AA0007	++/t	M			fCas9 MT (+/+), synCre (+)	1/1/2020	05/07/20	2728	2713	fCas9 x synCre		T962919-C04	
5027	AA0007	t/+	M			fCas9 MT (+/+), synCre (+)	1/1/2020	05/07/20	2728	2713	fCas9 x synCre		T962919-D04	
5028	AA0033	+/t	F	black		fCas9 MT (+/+), synCre (+)	1/1/2020		2728	2713	fCas9 x synCre		T962919-E04	
5029	AA0033	++/t	F	black		fCas9 MT (+/+), synCre (-)	1/1/2020	Dispensible	2728	2713	fCas9 x synCre		T962919-F04	
5030	AA0009	+/t	M			fCas9 MT (+/-), hCD2 (-)	12/31/2019	05/07/20	2727	2732/2547	fCas9 x hCD2		T962919-G04	
5031	AA0009	++/t	M			fCas9 MT (-/-), hCD2 (-)	12/31/2019	05/07/20	2727	2732/2547	fCas9 x hCD2		T962919-H04	
5032	AA0009	t/+	M			fCas9 MT (+/-), hCD2 (-)	12/31/2019	05/07/20	2727	2732/2547	fCas9 x hCD2		T962919-A05	
5033	AA0009	t/++	M			fCas9 MT (+/-), hCD2 (+)	12/31/2019	05/07/20	2727	2732/2547	fCas9 x hCD2		T962919-B05	
5034	AA0010	+/t	F			fCas9 MT (+/-), hCD2 (+)	12/31/2019	Dispensible	2727	2732/2547	fCas9 x hCD2		T962919-C05	
5035	AA0010	++/t	F			fCas9 MT (+/+), hCD2 (+)	12/31/2019		2727	2732/2547	fCas9 x hCD2		T962919-D05	
5036	AA0010	t/+	F			fCas9 MT (+/-), hCD2 (-)	12/31/2019	Dispensible	2727	2732/2547	fCas9 x hCD2		T962919-E05	
5037	AA0011	+/t	F			fCas9 MT (+/-), hCD2 (-)	12/31/2019	05/07/20	2727	2732/2547	fCas9 x hCD2		T962919-F05	
5038	AA0011	++/t	F			fCas9 MT (+/-), hCD2 (-)	12/31/2019	05/07/20	2727	2732/2547	fCas9 x hCD2		T962919-G05	
5039	AA0011	t/+	F			fCas9 MT (+/-), hCD2 (-)	12/31/2019	05/07/20	2727	2732/2547	fCas9 x hCD2		T962919-H05	
5040	AA0012	+/t	M			fCas9 MT (+/-), hCD2 (-)	1/2/2020	05/07/20	2542	2731/2535	fCas9 x hCD2		T962919-A06	
5041	AA0012	++/t	M			fCas9 MT (+/-), hCD2 (+)	1/2/2020	05/07/20	2542	2731/2535	fCas9 x hCD2		T962919-B06	
														
5042	AA0013	+/t	M			4E,7I,4S,NAina	12/30/2019	Reserve-May20	2620	2632	1685ins21#2		T979159-A01	
5043	AA0013	++/t	M			4E,6I,3S,NAina	12/30/2019	Dispensible	2620	2632	1685ins21#2		T979159-B01	
5044	AA0013	t/+	M			4E,7I,3S,NAina	12/30/2019	Reserve-May20	2620	2632	1685ins21#2		T979159-C01	
5045	AA0014	+/t	M			3E,6I,4S,NAina	12/30/2019	dispensible	2620	2632	1685ins21#2		T979159-D01	
5046	AA0014	++/t	M			4E,6I,4S,NAina	12/30/2019	dispensible	2620	2632	1685ins21#2		T979159-E01	
5047	AA0014	t/+	M			4E,8I,4S,NAina	12/30/2019	Breeder-May20	2620	2632	1685ins21#2		T979159-F01	
5048	AA0010	+/t	F	Agouti		3E,7I,2S,NAina	12/30/2019	dispensible	2620	2632	1685ins21#2		T979159-G01	
5049	AA0010	++/t	F	Agouti		4E,7I,3S,NAina	12/30/2019	Breeder-May20	2620	2632	1685ins21#2		T979159-H01	
5050	AA0016	+/t	M			3E,7I,3S,NAina	12/31/2019	03/17/20	2463	2625/2633	1685ins21#2		T979159-A02	
5051	AA0017	+/t	F			2E,8I,3S,NAina	12/31/2019	dispensible	2463	2625/2633	1685ins21#2		T979159-B02	
5052	AA0017	++/t	F			4E,8I,3S,NAina	12/31/2019	Breeder-May20	2463	2625/2633	1685ins21#2		T979159-C02	
5053	AA0017	t/+	F			4E,8I,2S,NAina	12/31/2019	Breeder-May20	2463	2625/2633	1685ins21#2		T979159-D02	
5054	AA0017	t/++	F			3E,7I,2S,NAina	12/31/2019	dispensible	2463	2625/2633	1685ins21#2		T979159-E02	
5055	AA0017	notch-5	F			3E,7I,2S,NAina	12/31/2019	dispensible	2463	2625/2633	1685ins21#2		T979159-F02	
5056	AA0018	+/t	M			4E,6I,2S,NAina	12/31/2019	05/07/20	2620	2626	1685ins21#2		T979159-G02	
5057	AA0018	++/t	M				12/31/2019	05/07/20	2620	2626	1685ins21#2		T979159-H02	
5058	AA0018	t/+	M			3E,5I,3S,NAina	12/31/2019	05/07/20	2620	2626	1685ins21#2		T979159-A03	
5059	AA0019	+/t	M			3E,6I,2S,NAina	12/31/2019	dispensible	2620	2626	1685ins21#2		T979159-B03	
5060	AA0019	++/t	M			4E,7I,2S,NAina	12/31/2019	dispensible	2620	2626	1685ins21#2		T979159-C03	
5061	AA0019	t/+	M			4E,6I,3S,NAina	12/31/2019	dispensible	2620	2626	1685ins21#2		T979159-D03	
5062	AA0020	+/t	F			4E,5I,4S,NAina	12/31/2019	dispensible	2620	2626	1685ins21#2		T979159-E03	
5063	AA0020	++/t	F			4E,6I,4S,NAina	12/31/2019	Breeder-May20	2620	2626	1685ins21#2		T979159-F03	
5064	AA0020	t/+	F			3E,4I,3S,NAina	12/31/2019	dispensible	2620	2626	1685ins21#2		T979159-G03	
5065	AA0020	t/++	F			4E,5I,4S,NAina	12/31/2019	dispensible	2620	2626	1685ins21#2		T979159-H03	
5066	AA0020	notch-5	F			4E,6I,3S,NAina	12/31/2019	dispensible	2620	2626	1685ins21#2		T979159-B04	
5067	AA0021	+/t	M			4E,7I,3S,NAina	1/3/2020	dispensible	2463	2622	1685ins21#2		T979159-C04	
5068	AA0021	++/t	M			4E,7I,4S,NAina	1/3/2020	Breeder-May20	2463	2622	1685ins21#2		T979159-D04	
5069	AA0024	+/t	F			4E,7I,3S,NAina	1/3/2020	Breeder-May20	2463	2622	1685ins21#2		T979159-E04	
5070	AA0024	++/t	F			4E,7I,1S,NAina	1/3/2020	Breeder-May20	2463	2622	1685ins21#2		T979159-F04	
													T979159-G04	
5071	AA0023	+/t	M			4E,8I,15S,14ina	1/5/2020	03/17/20	2750	2650/2652	1763PB#7		T979159-H04	
5072	AA0024	+/t	F			5E,7I,16S,10ina	1/5/2020	Breeder-May20	2750	2650/2652	1763PB#7		T979159-A05	
5073	AA0024	++/t	F			4E,8I,12S,11ina	1/5/2020	dispensible	2750	2650/2652	1763PB#7		T979159-B05	
5074	AA0024	t/+	F			4E,8I,15S,12ina	1/5/2020	dispensible	2750	2650/2652	1763PB#7		T979159-C05	
														
5075	AA0025	+/t	F	Agouti		5	01/12/20	Breeder-May20	2438	2741/2743	1853PBF#1		T979199-A01	
5076	AA0025	++/t	F	Black		5	01/12/20	Breeder-May20	2438	2741/2743	1853PBF#1		T979199-B01	
5077	AA0025	t/+	F	Black		4	01/12/20	dispensible	2438	2741/2743	1853PBF#1		T979199-C01	
														
5078	AA0026	+/t	M	Black			01/13/20	05/07/20	2265	2410/2412	1763PB#7		T979199-D01	
5079	AA0026	++/t	M	Black			01/13/20	05/07/20	2265	2410/2412	1763PB#7		T979199-E01	
														
5080	AA0027	t/++	M	Agouti		4E,6I,11S,13ina	01/13/20	05/07/20	2265	2410/2412	1763PB#7		T979199-F01	
5081	AA0027	notch-5	M	White		5E,6I,12S,11ina	01/13/20	05/07/20	2265	2410/2412	1763PB#7		T979199-G01	
5082	AA0027	t/+	M	White		3E,7I,17S,10ina	01/13/20	05/07/20	2265	2410/2412	1763PB#7		T979199-H01	
5083	AA0027	t/++	M	White		3E,3I,13S,14ina	01/13/20	05/07/20	2265	2410/2412	1763PB#7		T979199-A02	
5084	AA0028	+/t	M	Agouti		4E,8I,16S,15ina	01/13/20	dispensible	2265	2410/2412	1763PB#7		T979199-B02	
5085	AA0028	++/t	M	Black			01/13/20	dispensible	2265	2410/2412	1763PB#7		T979199-C02	
5086	AA0028	t/+	M	Black		5E,7I,11S,11ina	01/13/20	dispensible	2265	2410/2412	1763PB#7		T979199-D02	
5087	AA0028	t/++	M	Black		5E,4I,9S,13ina	01/13/20	dispensible	2265	2410/2412	1763PB#7		T979199-E02	
5088	AA0029	+/t	F	Black			01/13/20	dispensible	2265	2410/2412	1763PB#7		T979199-F02	
5089	AA0029	++/t	F	Black		5E,6I,10S,13ina	01/13/20	dispensible	2265	2410/2412	1763PB#7		T979199-G02	
5090	AA0029	t/+	F	Black		4E,5I,10S,13ina	01/13/20	dispensible	2265	2410/2412	1763PB#7		T979199-H02	
5091	AA0030	+/t	F	Black		3E,3I,10S,12ina	01/13/20	05/07/20	2265	2410/2412	1763PB#7		T979199-A03	
